Question_ID,Step_ID,Source,Question,Solution,Step,KC
162,1,ASDiv,I have 28 cents in my pocket. How coins could I have on minimization?,4 (coins),28/25=1 r3; 3/1=3; 1+3=4,"4.NBT.B.6, 3.OA.A.3, K.OA.A.2"
325,1,ASDiv,"At the edge of the forest, an anthill is blocking the way out. In order to pass through, he needs to help the ants gather food. If the ants need 911 grains of food and they already have 762, how many more grains are needed to be gathered?",149 (grains),911-762=149,2.NBT.B.7
336,1,ASDiv,"There's only a week left before Christmas. John went out to buy gifts for his family. Having $999.00 for his budget, he went to a sports store and bought his brother a new pair of shoes for $165.00. How much money does he have left?",834 (dollars),999-165=834,2.NBT.B.7
889,1,ASDiv,Ethan and Frank went rowing. Ethan rowed the boat from 10:50 to 11:15. Frank rowed the boat twice as long. How long did the boys row the boat altogether?,75 (minutes),(11*60 (min/hour)+15)-(10*60 (min/hour)+50)+(((11*60 (min/hour)+15)-(10*60 (min/hour)+50))*2)=75 (min),4.MD.A.2
405,1,ASDiv,"After counting all her money, she went to her mom and had all her savings exchanged into whole $100 bills. After the exchange, she has 8 pieces of $100 bills. How much was total amount of Michelle's savings?",800 (dollars),8*100=800,4.NBT.B.5
517,1,ASDiv,"Instead of buying from the store, Melody made Christmas cards for the elderly in a nursing home. She had 99 blue sequins which she plans to use as snowflakes for the cards. If she distributes the sequins equally to 12 cards, how many sequins will Melody have left?",3 (sequins),99/12=8 r3,5.NBT.B.6
153,1,ASDiv,Mrs. Hilt has 50 cents. A pencil costs 5 cents. How many pencils can she buy with the money she has?,10 (pencils),50/5=10,3.OA.A.3
734,1,ASDiv,Teacher buys 4 black pens and 4 blue pens for students as awards. How many pens does the teacher buy altogether?,8 (pens),4+4=8,K.OA.A.2
1923,1,ASDiv,At the arcade Billy had won forty-eight tickets. After buying a yoyo he had thirty-two tickets left. How many tickets did the yoyo cost?,16 (tickets),48-32=16,2.OA.A.1
1142,1,ASDiv,There are 43 empty seats and 7 occupied seats on an airplane. What is the ratio of the number of occupied seats to the total number of seats?,0.326388889,7+43=50; 7:50,"2.OA.A.1, 6.RP.A.1"
33,1,ASDiv,"Mrs. Hilt's favorite first grade classes are baking muffins. Mrs. Brier's class bakes 18 muffins, Mrs. MacAdams's class bakes 20 muffins, and Mrs. Flannery's class bakes 17 muffins. How many muffins does first grade bake in all?",55 (muffins),18+20+17=55,2.OA.A.1
1227,1,ASDiv,"Packages of cheddar cheese come with 12 slices, while packages of Swiss cheese come with 28 slices. If Randy bought the same number of slices of each type of cheese, what is the smallest number of slices of each type that Randy could have bought?",84 (slices),"LCM[12,28]=84",6.NS.B.4
683,1,ASDiv,"Mrs. Hilt had $4,000 in her savings account. She earned 10% interest each year. If she left that money in the account for one year, how much will she have in the account at the end of that year?",4400 (dollars),4000+(4000*0.1*1)=4400,"6.RP.A.3, 4.NBT.B.4"
772,1,ASDiv,"The capacity of a tank is 32 gallons. If a company bought 728 gallons of oil, how many tanks are needed to hold all the oil?",23 (tanks),728/32=22 r24,5.NBT.B.6
873,1,ASDiv,"I want to plant 45 sunflower plants, 81 corn plants and 63 tomato plants in my garden. If I put the same number of plants in each row and each row has only one type of plant, what is the greatest number of plants I can put in one row?",9 (plants),"GCD(45,81,63)=9",6.NS.B.4
1745,1,ASDiv,A chef used five potatoes to make fries for the lunch crowd. Later he used another two potatoes for the dinner crowd. How many potatoes did he use total?,7 (potatoes),5+2=7,K.OA.A.2
244,1,ASDiv,"Their last stop was the largest of them all, Lake Superior. Tired with their travels, they decided to do less fishing and enjoy the lake's beauty instead. They were able to catch 15 catfishes, 20 sturgeons, 25 pikes and 10 eels. How many fishes were caught from Lake Superior?",70 (fishes),15+20+25+10=70,2.NBT.B.6
1134,1,ASDiv,"In 3 seconds, Kevin can dribble a basketball 13 times. If Kevin dribbles at this same rate for 27 seconds, how many times will he dribble the basketball?",117 (times),3:13=27:117,6.RP.A.3
2169,1,ASDiv,"Adam had 5 dollars. At the store he spent $2 on a new game. If he got another 5 dollars for his allowance, how much money does he have now?",8 (dollars),5-2+5=8,K.OA.A.2
2064,1,ASDiv,"P and Q start at the same time in the same direction to run around a stadium. P completes a round in 252 seconds and Q in 198 seconds, both starting at the same point. After what time will they meet again at the starting point?",2772 (seconds),"LCM[252,198]=2772",6.NS.B.4
677,1,ASDiv,A company donates 935 pencils to a school. The pencils are divided evenly among 9 classrooms. The rest of the pencils are given to the library. How many pencils were donated to the library?,8 (pencils),935/9=103 r8,4.NBT.B.6
2097,1,ASDiv,"At a comic convention Janet wanted to buy 8 comics, but each one costs 4 dollars, plus it costs 2 to even get in. How much money should she take with her so she can get in and buy what she wants?",34 (dollars),8*4+2=34,3.OA.A.8
1883,1,ASDiv,"Kaleb has seventeen shirts. If he got rid of seven of them, how many shirts would Kaleb have?",10 (shirts),17-7=10,1.OA.A.1
326,1,ASDiv,"Charlie, an aspiring inventor, is planning to make some wings to fulfill his dream to fly around the world. He started by collecting feathers. He needs 900 feathers and he already has 387. How many more feathers does he need to collect?",513 (feathers),900-387=513,2.NBT.B.7
1874,1,ASDiv,"A furniture store had fifteen chairs. After selling some, there was three left. How many chairs did they sell?",12 (chairs),15-3=12,1.OA.A.1
1858,1,ASDiv,Jenny was told to clean up her room in fourteen days or she could not go to her best friend's birthday party. It is three days left but Jenny has cleaned up her room. How many days did she spend?,11 (days),14-3=11,1.OA.A.1
1553,1,ASDiv,A cafeteria was putting milk cartons into stacks. They had seven hundred ninety-nine cartons and were putting them into stacks with six cartons in each stack. How many full stacks could they make?,133 (stacks),799/6=133 r1,4.NBT.B.6
1843,1,ASDiv,"Sarah could send ten text messages a day. If she sent eight, how many text messages does she have left she can send?",2 (text messages),10-8=2,K.OA.A.2
2132,1,ASDiv,Adam had seventy-nine dollars saved up. After doing some chores his mother gave him another thirteen dollars. How much money does he have total?,92 (dollars),79+13=92,2.OA.A.1
1420,1,ASDiv,Seven times a two digit is equal to four times the number obtained by reversing the order of digits and the sum of the digits is 3. Find the number.,12,x:The number of the tens digital; y:The number of the unit digital; 7(10x+y)=4(10y+x); x+y=3,8.EE.C.8
1564,1,ASDiv,"A food company has seven hundred seventy-seven kilograms of food to put into boxes. If each box gets exactly two kilograms, how many full boxes will they have?",388 (boxes),777/2=388 r1,4.NBT.B.6
1310,1,ASDiv,"Consider three consecutive positive integers. If the third number is subtracted from the sum of first two numbers, the difference is 10. Find the numbers.",11; 12; 13,x:The first number; x+(x+1)-(x+2)=10,6.EE.B.6
1786,1,ASDiv,For Bianca's birthday 5 of her friends gave her 6 dollars. How much money did she get for her birthday?,30 (dollars),5*6=30,3.OA.A.3
35,1,ASDiv,Mrs. Hilt made 5 Rice Krispie Treats. She used 8 large marshmallows and 10 mini marshmallows. How many marshmallows did she use altogether?,18 (marshmallows),8+10=18,1.OA.A.1
883,1,ASDiv,"Mr. Bradley gave his class a math problem to solve. He said, ""Begin with the number 28. Add 12 to it. Then add 7 more."" Ned followed the instructions perfectly but Billy subtracted 7. What is the difference between the boys' answers?",14,(28+12+7)-(28+12-7)=14,2.NBT.B.5
1857,1,ASDiv,"Megan had seventeen bottles of water. If she drank three of them, how many bottles would Megan have left?",14 (bottles),17-3=14,1.OA.A.1
581,1,ASDiv,"The Razorback T-shirt Shop ordered 12 cases of t-shirts. If each case contains 24 t-shirts, how many t-shirts did they order?",288 (t-shirts),12*24=288,4.NBT.B.5
1961,1,ASDiv,"A farmer planted 2 tomato seeds, 10 cucumber seeds and 3 pumpkin seeds. How many seeds did he plant all together?",15 (seeds),2+10+3=15,1.OA.A.2
2077,1,ASDiv,"Jenny goes to dance class every 6 days, karate class every 12 days, and to the library every 18 days. On December 1st she went to both classes and the libary. How many days from December 1st will she do both classes and go to the library?",36 (days),"LCM[6,12,18]=36",6.NS.B.4
511,1,ASDiv,"Drew prepared 61 servings of butterscotch. If she expects her 6 sweet-tooth guests to share the butterscotch among them equally, how many will be left unconsumed?",1 (servings of butterscotch),61/6=10 r1,4.NBT.B.6
804,1,ASDiv,"Sam cut equal-length pieces of ribbon from a 3,730-cm long ribbon. If each piece was 73 cm long, how many 73 cm pieces of ribbon did Sam make?",51 (pieces of ribbon),3730/73=51 r7,5.NBT.B.6
1048,1,ASDiv,"Last season, Lisa's soccer team won 8 games and lost 6 games. Her cousin Susan's team won 17 games and lost 14 games. Which team had a higher ratio of wins to losses?",Lisa's soccer team,8/6(Lisa's soccer team) > 17/14(Susan's team),6.RP.A.3
843,1,ASDiv,"There are three bosses in a computer game. Boss A appears every 1 hour. Boss B appears every 30 minutes. Boss C appears every 40 minutes. If the three bosses appear together at 10:10, at what time will the three bosses appear together again in the game?",0.506944444,"(10*60 (min/hour) + 10) + LCM[60,30,40] + 0 = 730 (min); 730/60 (min/hour)=12 r10; hh:mm=12:10","4.MD.A.2, 5.NBT.B.6"
1715,1,ASDiv,At the produce store you can buy 2 bags of bananas for $12.46. How much would it cost if you were to buy 6 bags?,37.38 (dollars),(12.46/2)*6=37.38,4.MD.A.2
1309,1,ASDiv,Thrice the sum of a number and 2 equals 24 added with the same number. Write algebraic equation and find the number.,9,x:The number; 3*(x+2)=24+x,6.EE.B.6
1525,1,ASDiv,A rectangular roof shingle is 10 inches long and 7 inches wide. What is its area?,70 (square inches),10*7=70,4.MD.A.3
152,1,ASDiv,Mrs. Hilt reads 13 books on every day that starts with the letters T and S. How many books does she read in one week?,52 (books),13*4=52,3.OA.A.3
719,1,ASDiv,67 medals are displayed in the sports center. There are 19 gold medals and 32 silver medals. How many bronze medals are displayed?,16 (bronze medals),(67-19)-32=16,2.OA.A.1
564,1,ASDiv,Martha bought 18 small cakes. She has 3 children. She would like to divide the cakes among her children so that each child gets the same amount. How many cakes would each child get?,6 (cakes),18/3=6,3.OA.A.3
