Question_ID,Step_ID,Source,Question,Solution,Step,KC
1953,1,ASDiv,"Jerry was weighing boxes for moving. The first was 2 pounds, the second was 11 pounds and the last was 5 pounds. What is the combined weight of all three boxes?",18 (pounds),2+11+5=18,1.OA.A.2
1371,1,ASDiv,"After paying 6 dollars for the pie, Sandy has 57 dollars left. How much money did she have before buying the pie ?",63 (dollars),6+57=63,2.OA.A.1
1404,1,ASDiv,"The present age of Jacob's father is three times that of Jacob. After 5 years, sum of their ages would be 70 years. Find their present ages.",45 (years old); 15 (years old),F:Present age of Jacob's father; J:Jacob's present age; F=J*3; (F+5)+(J+5)=70,8.EE.C.8 
648,1,ASDiv,532 people are watching a movie in a theater. The theater has 750 seats. How many seats are empty in the theater?,218 (seats),750-532=218,2.NBT.B.7
1505,1,ASDiv,"Kevin can mow a square lawn that is 30 meters of each side in 45 minutes. If he works at the same rate, how many minutes will it take Kevin to mow a square lawn that measures 60 meters on each side?",180 (minutes),4*45=180,"4.MD.A.2, 6.RP.A.3"
1242,1,ASDiv,A baker had 7 boxes for donuts. He ended up making 48 donuts and splitting them evenly between the boxes. How many extra donuts did he end up with?,6 (donuts),48/7=6 r6,4.NBT.B.6
2006,1,ASDiv,For the school bake sale Amy made pastries. She baked 15 cupcakes and 48 cookies. After the sale she had 12 to take back home. How many pastries did she sell?,51 (pastries),15+48-12=51,2.OA.A.1
265,1,ASDiv,"The last place that he went to was the city animal shelter. There he donated some money to make sure the dogs and cats there are being taken care of. If there are 645 cats and 567 dogs there, how many animals are there in the shelter?",1212 (animals),645+567=1212,4.NBT.B.4
2052,1,ASDiv,"Kristen found gift bags in packs of 12 and bows in packs of 5. If Kristen wanted to have the same number of gift bags as bows, what is the smallest number of gift bags she would have to buy?",60 (gift bags),"LCM[12,5]=60",6.NS.B.4
923,1,ASDiv,One zoo guide spoke to a group of 19 children. Another guide spoke to a group of 25 children. There are 22 guides at the zoo. How many children did the zoo guides speak to?,44 (children),19+25=44,2.OA.A.1
121,1,ASDiv,Brian has 39 pencils. He gives 18 pencils to a friend. He buys 22 more pencils. How many pencils does Brian have now?,43 (pencils),39-18+22=43,2.OA.A.1
2227,1,ASDiv,Nancy had forty-three files on her computer. She deleted thirty-one of them and put the rest into folders with six files in each one. How many folders did Nancy end up with?,2 (folders),(43-31)/6=2,3.OA.D.8 
1384,1,ASDiv,"On Monday, three hundred ninety-six students went on a trip to the zoo. All seven buses were filled and four students had to travel in cars. How many students were in each bus ?",56 (students),x:The number of students in each bus; 7x+4=396,6.EE.B.6 
1203,1,ASDiv,"Allie has 5 math books and 10 science books. If she wants to distribute them evenly among some bookshelves so that each bookshelf has the same combination of math and science books, with no books left over, what is the greatest number of bookshelves Allie can use?",5 (bookshelves),"GCD(5,10)=5",6.NS.B.4
294,1,ASDiv,"She also decided to contribute to the collection of the Museum of Natural History. After donating some of her bug collection, she was left with 39 bug species. If she originally has 98 bug species, how many did she donate?",59 (bug species),98-39=59,2.OA.A.1
1695,1,ASDiv,A book store was selling 2 books for $15.86. Online the you could buy 7 books for $55.93. Which place has a lower unit price?,Book store,15.86/2=7.93(Book store) < 55.93/7=7.99(Online),4.MD.A.2
193,1,ASDiv,"Morgan has 65 red pens, 45 blue pens, and 58 black pens. How many pens does she have?",168 (pens),65+45+58=168,3.NBT.A.2
90,1,ASDiv,Cade had 87 marbles. He gave 8 to Dylan. How many does he have left?,79 (marbles),87-8=79,2.OA.A.1
1623,1,ASDiv,The woods behind Wendy's house were 8 miles wide and have an area of 24 square miles. What is the length of the woods?,3 (miles),24/8=3,4.MD.A.3 
948,1,ASDiv,94 students signed up for computer classes. There were 24 second graders and 29 third graders. The rest of the students were fourth graders. How many fourth graders took computer classes?,41 (fourth graders),94-24-29=41,2.NBT.B.5
2066,1,ASDiv,"Bob strikes the drums every 9 seconds and the cymbals every 12 seconds. If he just struck both at the same time, how many seconds will pass before he again strikes them at the same time?",36 (seconds),"LCM[9,12]=36",6.NS.B.4
900,1,ASDiv,Tina had a large collection of beanie babies. She gave 8 beanie babies to her cousin. She gave half that amount to her sister. She gave 36 beanie babies to needy children. She kept 12 for herself. How many beanie babies were in Tina's collection at first?,60 (beanie babies),8/2=4; 8+4+36+12=60,"3.OA.A.3, 2.NBT.B.5 "
1748,1,ASDiv,"Jerry was playing the ring toss at the carnival. All together he used forty-eight rings. If each game you get six rings, how many games did he play?",8 (games),48/6=8,3.OA.A.3
2176,1,ASDiv,In fourth grade there were 35 students at the start of the year. During the year 10 students left and 10 new students came to school. How many students were in fourth grade at the end?,35 (students),35-10+10=35,2.OA.A.1
114,1,ASDiv,Mikey had 356 leaves. Some of her leaves blew away. Now she has 112 leaves left. How many of her leaves blew away?,244 (leaves),356-112=244,2.NBT.B.7
2238,1,ASDiv,"A company invited sixty-eight people to a luncheon, but fifty of them didn't show up. If the tables they had held three people each, how many tables do they need?",6 (tables),(68-50)/3=6,3.OA.D.8
1611,1,ASDiv,Paige had a sheet of paper that was 9 inches long and 10 inches wide. What is the area of the paper?,90 (square inches),9*10=90,4.MD.A.3
2155,1,ASDiv,Roger went to the movies fifteen times last year and three times this year. How many times did Roger go to the movies all together?,18 (times),15+3=18,1.OA.A.1
413,1,ASDiv,"To get to school, Jenny decided to ride the school's double decker bus. The bus has a total of 20 rows of seats and each row has a capacity of 4 kids. How many kids in total can ride the school bus?",80 (kids),20*4=80,3.OA.A.3
1497,1,ASDiv,Math Magazine charges $8 per square inch for advertising. Jason decides to order a half page ad. Each page of the magazine measures 9 inches by 12 inches. How much will Jason have to pay?,432 (dollars),((12 (inch)*9 (inch))/2) * 8 (dollar/square inch) = 432 (dollar),"4.MD.A.3, 4.OA.A.3"
1825,1,ASDiv,An architect was building a hotel downtown. He built it 3 stories tall with 8 rooms on each story. How many rooms does the hotel have totaled?,24 (rooms),3*8=24,3.OA.A.3
913,1,ASDiv,Evan delivers packages in a building. He started on the first floor and went up 7 floors. He went down 3 floors and then up 16 floors. Then he was only 2 floors away from the top of the building. How many floors are in the building altogether?,23 (floors),1+7-3+16+2=23,2.NBT.B.5
928,1,ASDiv,Mom made 32 chocolate chip cookies. It took 24 minutes to mix the ingredients and 16 minutes to bake. Julie and Matt ate 9 cookies after dinner. How many cookies were left?,23 (cookies),32-9=23,2.OA.A.1
1002,1,ASDiv,"The coach bought 2 extra large pizzas for the team. There were 32 slices of pizza totally. After the team ate some of the slices, there were 7 slices left. How many slices of pizza did the team eat?",25 (slices of pizza),32-7=25,2.OA.A.1
2158,1,ASDiv,Katie had twelve pencils in her desk and three more in her backpack. How many did she have total?,15 (pencils),12+3=15,1.OA.A.1
1674,1,ASDiv,"A parking lot has 117 spaces total. If 36 of the spaces have cars in them, what is the ratio of empty spaces to filled spaces?",9:04,117-36=81; 81:36=9:4,"2.NBT.B.7, 6.RP.A.1"
420,1,ASDiv,"It usually takes Stanley 10 hours to go around his two favorite places. If he took 10 times longer than the usual, how many hours did it take him to go around the places this time?",100 (hours),10*10=100,4.MD.A.2
2045,1,ASDiv,"There are 72 boys and 90 girls on the math team. For the next math competition, Mr. Johnson would like to arrange all of the students in equal rows with only girls or only boys in each row. What is the greatest number of students that can be in each row?",18 (students),"GCD(72,90)=18",6.NS.B.4
822,1,ASDiv,"Sam has 389 riddles for 18 of his students to guess. If he wants the students to guess the same number of riddles, at least how many more riddles does he need to distribute?",7 (riddles),389/18=21 r11; 18-11=7,"5.NBT.B.6, 1.OA.A.1"
1978,1,ASDiv,"For a party Janet bought some cupcakes. She bought 2 chocolate, 13 vanilla and 2 strawberry. How many cupcakes did she buy?",17 (cupcakes),2+13+2=17,1.OA.A.2
206,1,ASDiv,"Annie is about to celebrate her birthday next week so her friends decided to throw her a surprise birthday party. Jessica, Annie's best friend, is hosting the party. She plans on making pizza for everyone. If she bought 15 pieces of pepperoni, 10 pieces of salami and 30 pieces of bacon as meat ingredients, how many pieces of meat did she buy in total?",55 (pieces),15+10+30=55,2.OA.A.1
