Question_ID,Step_ID,Source,Question,Solution,Step,KC
A,1,ASDiv,"There are 43 students and 1720 apples. Each student has 9 Skittles. If the apples are divided equally among the students,how many does each student get?",1720/43=40,1720/43=40,5.NBT.B.6
B,1,ASDiv,Rebecca wants to split a collection of eggs into groups of 2. Rebecca has 16 eggs and 3 marbles. How many groups will be created?,16/2=8,16/2=8,3.OA.A.3
C,1,ASDiv,"At the fair Kaleb bought 6 tickets. After riding the ferris wheel he had 3 tickets left. If each ticket cost 9 dollars, how much money did Kaleb spend riding the ferris wheel?",(6-3)*9=27,(6-3)*9=27,"K.OA.A.2, 3.OA.A.3"
D,1,ASDiv,Dave was working as a sacker at a grocery store where he made six dollars an hour. On Monday he worked six hours and on Tuesday he worked two hours. How much money did Dave make in those two days?,(6+2)*6=48,(6+2)*6=48,"K.OA.A.2, 3.OA.A.3"
E,1,ASDiv,"The school cafeteria had 17 apples. If they used 2 to make lunch for the students and then bought 23 more, how many apples would they have?",17-2+23=38,17-2+23=38,2.NBT.B.5
F,1,ASDiv,"Daniel has 44 commemorative plates and 33 commemorative spoons. He wants to display them in groups throughout his house, each with the same combination of plates and spoons, with none left over. What is the greatest number of groups Daniel can display?","GCD(44,33)=11","GCD(44,33)=11",6.NS.B.4
G,1,ASDiv,"A P.E. teacher needs to divide 14 male students and 7 female students into teams, each with the same combination of male students and female students and nobody left out. What is the greatest number of teams that can be formed?","GCD(14,7)=7","GCD(14,7)=7",6.NS.B.4
H,1,ASDiv,"While sorting some buttons, Malia put 1 button in the first box, 3 buttons in the second box, 9 buttons in the third box, 27 buttons in the fourth box, and 81 buttons in the fifth box. If this pattern continues, how many buttons will Malia put in the sixth box?","1, 3, 9, 27, 81, 243","1, 3, 9, 27, 81, 243",3.OA.D.9
I,1,ASDiv,Ava and Shannon are baking pies for a bake sale. Ava baked 14 apple pies and 8 blueberry pies. Shannon baked 12 apple pies and 4 blueberry pies. Who baked a higher ratio of apple pies to blueberry pies?,14/8(Ava) &lt; 12/4(Shannon),14/8(Ava) &lt; 12/4(Shannon),3.NF.A.3
J,1,ASDiv,Ted and Fred measured their height. Their total height is 98 inches. Ted is 39 inches tall. How tall is Fred?,98-39=59,98-39=59,2.OA.A.1
